user_id,year,month,base_amount,personal_amount,company_amount
1,2021,1,4445.32,88.91,355.63
1,2021,2,4445.32,88.91,355.63
1,2021,3,4445.32,88.91,355.63
1,2021,4,4445.32,88.91,355.63
1,2021,5,4445.32,88.91,355.63
1,2021,6,4445.32,88.91,355.63
1,2021,7,4445.32,88.91,355.63
1,2021,8,4445.32,88.91,355.63
1,2021,9,4445.32,88.91,355.63
1,2021,10,4445.32,88.91,355.63
1,2021,11,4445.32,88.91,355.63
1,2021,12,4445.32,88.91,355.63
1,2022,1,4633.12,92.66,370.65
1,2022,2,4633.12,92.66,370.65
1,2022,3,4633.12,92.66,370.65
1,2022,4,4633.12,92.66,370.65
1,2022,5,4633.12,92.66,370.65
1,2022,6,4633.12,92.66,370.65
1,2022,7,4633.12,92.66,370.65
1,2022,8,4633.12,92.66,370.65
1,2022,9,4633.12,92.66,370.65
1,2022,10,4633.12,92.66,370.65
1,2022,11,4633.12,92.66,370.65
1,2022,12,4633.12,92.66,370.65
1,2023,1,4774.07,95.48,381.93
1,2023,2,4774.07,95.48,381.93
1,2023,3,4774.07,95.48,381.93
1,2023,4,4774.07,95.48,381.93
1,2023,5,4774.07,95.48,381.93
1,2023,6,4774.07,95.48,381.93
1,2023,7,4774.07,95.48,381.93
1,2023,8,4774.07,95.48,381.93
1,2023,9,4774.07,95.48,381.93
1,2023,10,4774.07,95.48,381.93
1,2023,11,4774.07,95.48,381.93
1,2023,12,4774.07,95.48,381.93
1,2024,1,4913.75,98.28,393.1
1,2024,2,4913.75,98.28,393.1
1,2024,3,4913.75,98.28,393.1
1,2024,4,4913.75,98.28,393.1
1,2024,5,4913.75,98.28,393.1
1,2024,6,4913.75,98.28,393.1
1,2024,7,4913.75,98.28,393.1
1,2024,8,4913.75,98.28,393.1
1,2024,9,4913.75,98.28,393.1
1,2024,10,4913.75,98.28,393.1
1,2024,11,4913.75,98.28,393.1
1,2024,12,4913.75,98.28,393.1
1,2025,1,5637.26,112.75,450.98
